Process_Name,CPU_Usage,Memory_Usage,Label
gvfs-afc-volume-monitor,0.0,0.20821590729199332,0
gvfs-gphoto2-volume-monitor,0.0,0.1702026399558764,0
gvfs-goa-volume-monitor,0.0,0.16405195213756568,0
gvfs-mtp-volume-monitor,0.0,0.1625394879199483,0
gvfsd-trash,0.0,0.21154332857075156,0
gvfsd-metadata,0.0,0.15699378578868456,0
obexd,0.0,0.1888563653064908,0
firefox-esr,0.0,20.365229859270244,0
Socket Process,0.0,0.946802600228483,0
xdg-desktop-portal,0.0,0.44264786102268794,0
xdg-document-portal,0.0,0.17302590649542884,0
xdg-permission-store,0.0,0.15729627863220802,0
fusermount3,0.0,0.04386146231090416,0
xdg-desktop-portal-gtk,0.0,0.4378079755263124,0
Privileged Cont,0.0,5.376306138890597,0
file:// Content,0.0,3.284467294977913,0
WebExtensions,0.0,2.461888422489738,0
Utility Process,0.0,0.8818674698187765,0
Isolated Web Co,0.0,3.818467994744691,0
Isolated Web Co,0.0,3.44085609507955,0
Isolated Web Co,0.0,2.3049954676488946,0
Isolated Web Co,0.0,6.114489508035723,0
sd_espeak-ng,0.0,0.23594441794831203,0
Isolated Web Co,0.0,3.4341004215741933,0
sd_dummy,0.0,0.1386425532815936,0
speech-dispatcher,0.0,0.15285971692719705,0
qterminal,0.0,2.6156556179475055,0
zsh,0.0,0.1497339575441211,0
qterminal,0.0,2.6688943584076372,0
zsh,0.0,0.19036882952410816,0
python3,0.0,0.3256839615269435,0
kworker/2:0H-kblockd,0.0,0.0,0
kworker/2:2H-kblockd,0.0,0.0,0
kworker/2:1-mm_percpu_wq,0.0,0.0,0
kworker/u13:1-ext4-rsv-conversion,0.0,0.0,0
Isolated Web Co,0.0,3.3681569816860746,0
Web Content,0.0,1.8588185234517658,0
Web Content,0.0,1.8495420762503794,0
kworker/u15:1-ext4-rsv-conversion,0.0,0.0,0
kworker/1:1H-kblockd,0.0,0.0,0
kworker/u14:2-ext4-rsv-conversion,0.0,0.0,0
kworker/u15:0-events_unbound,0.0,0.0,0
kworker/u14:3-events_unbound,0.0,0.0,0
kworker/0:0H-kblockd,0.0,0.0,0
kworker/0:2-mm_percpu_wq,0.0,0.0,0
kworker/u13:3,0.0,0.0,0
kworker/1:1-ata_sff,0.0,0.0,0
kworker/1:2-events,0.0,0.0,0
systemd-journald,0.0,0.3593614981058907,0
systemd-logind,0.0,0.2266679707469254,0
kworker/0:3-events,0.0,0.0,0
kworker/1:3-ata_sff,0.0,0.0,0
Web Content,0.0,1.8868495269516081,0
kworker/1:0H-kblockd,0.0,0.0,0
kworker/2:2,0.0,0.0,0
kworker/1:0-ata_sff,0.0,0.0,0
kworker/2:1H,0.0,0.0,0
python3,0.0,1.7821870030924853,0
